product name,price,date,time,email,refund,paid?
super-product0,20.00,2/11/2021,10:22 PM,user1.name@mail.com,N/A,not yet
super-product1,20.00,2/11/2021,8:01 PM,user2.name@mail.com,N/A,not yet
super-product2,20.00,2/11/2021,7:20 PM,user3.name@mail.com,N/A,not yet
super-product1,20.00,2/11/2021,7:14 PM,user1.name@mail.com,N/A,not yet
super-product3,10.00,2/11/2021,7:06 PM,user3.name@mail.com,N/A,not yet
super-product2,20.00,2/11/2021,6:42 PM,user2.name@mail.com,N/A,not yet
super-product0,12.12,2/11/2021,5:44 PM,user3.name@mail.com,N/A,not yet
super-product1,20.00,2/11/2021,5:34 PM,user1.name@mail.com,N/A,not yet
super-product4,20.00,2/11/2021,5:09 PM,user5.name@mail.com,N/A,not yet
super-product7,12.12,2/11/2021,4:39 PM,user4.name@mail.com,N/A,not yet
super-product8,20.00,2/11/2021,4:32 PM,user2.name@mail.com,N/A,not yet
super-product3,20.00,2/11/2021,4:03 PM,user1.name@mail.com,N/A,not yet
super-product2,20.00,2/11/2021,3:53 PM,user3.name@mail.com,N/A,not yet
super-product1,20.00,2/11/2021,3:40 PM,user5.name@mail.com,N/A,not yet
super-product10,6.00,2/11/2021,2:18 PM,user9.name@mail.com,N/A,not yet
super-product1,20.00,2/10/2021,2:13 PM,user0.name@mail.com,N/A,yes
super-product9,20.00,2/10/2021,2:08 PM,user1.name@mail.com,N/A,not yet
super-product3,20.00,2/10/2021,2:04 PM,user2.name@mail.com,N/A,not yet
super-product4,20.00,2/10/2021,1:59 PM,user11.name@mail.com,N/A,not yet
super-product6,20.00,2/10/2021,1:42 PM,user2.name@mail.com,N/A,not yet
super-product9,20.00,2/10/2021,1:37 PM,user8.name@mail.com,N/A,not yet
super-product3,20.00,2/10/2021,1:26 PM,user0.name@mail.com,N/A,not yet
super-product2,14.14,2/10/2021,12:09 PM,user8.name@mail.com,N/A,yes
super-product1,20.00,2/10/2021,12:09 PM,user1.name@mail.com,N/A,not yet
super-product0,20.00,2/10/2021,11:56 AM,user9.name@mail.com,N/A,not yet
super-product8,6.00,2/10/2021,11:54 AM,userA.name@mail.com,N/A,not yet
super-product8,20.00,2/10/2021,11:49 AM,user7.name@mail.com,N/A,not yet
super-product2,20.00,2/10/2021,11:25 AM,user3.name@mail.com,N/A,not yet
super-product3,20.00,2/10/2021,11:14 AM,user1.name@mail.com,N/A,not yet
super-product1,20.00,2/10/2021,10:11 AM,user2.name@mail.com,N/A,not yet
